TEAM,TV MARKET SIZE,METRO POPULATION
Knicks / Nets,7.453M,19216182
Lakers / Clippers,5.735M,13214799
Bulls,3.472M,9458539
76ers,2.997M,6102434
Mavericks,2.963M,7573136
Raptors,â€“,5928040
Warriors,2.653M,4731803
Hawks,2.649M,6020364
Rockets,2.570M,7066141
Wizards,2.566M,6280487
Celtics,2.490M,4873019
Suns,2.158M,4948203
Timberwolves,1.887M,3654908
Pistons,1.863M,4319629
Nuggets,1.798M,2932415
Magic,1.731M,2608147
Heat,1.693M,6166488
Cavaliers,1.512M,2048449
Kings,1.459M,2363730
Trailblazers,1.315M,2492412
Hornets,1.291M,2636883
Pacers,1.183M,2074537
Jazz,1.100M,1232696
Spurs,1.031M,2550960
 Bucks,922K,1575179
Thunder,755K,1408950
Pelicans,664K,1270530
Grizzlies,620K,1346045
